from,to,requires,notes
rm_test_2[100257],rm_test_2[100258],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo | (Ruby_Slippers + precise_movement),
rm_test_2[100257],rm_test_2[100259],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo,
rm_test_2[100258],rm_test_2[100257],,
rm_test_2[100258],rm_test_2[100259],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo,
rm_test_2[100259],rm_test_2[100257],,
rm_test_2[100259],rm_test_2[100258],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo | (Ruby_Slippers + precise_movement),
rm_test_2[100257],rm_test_3[100281],,
rm_test_3[100281],rm_test_3[100282],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump | Heavy_Ammo | precise_movement | (Grenade + grenade_boost + Dandelion_Bomb) | Ruby_Slippers,
rm_test_3[100281],rm_test_3[100298],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump | damage_boost | (Heavy_Ammo + Energy_Disruptor + precise_movement),
rm_test_3[100281],rm_test_3[100279],,
rm_test_3[100282],rm_test_3[100281],,
rm_test_3[100282],rm_test_3[100298],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump | damage_boost | (Heavy_Ammo + Energy_Disruptor + precise_movement),
rm_test_3[100282],rm_test_3[100279],,
rm_test_3[100298],rm_test_3[100281],,
rm_test_3[100298],rm_test_3[100282],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump | Heavy_Ammo | precise_movement | (Grenade + grenade_boost + Dandelion_Bomb) | Ruby_Slippers,
rm_test_3[100298],rm_test_3[100279],,
rm_test_3[100298],rm_hidden_4[100922],,
rm_hidden_4[100922],Flatlands TP UP,Grappling_Hook | Shotgun | Rocket_Launcher,TODO check
rm_test_3[100279],rm_test_3[100281],,
rm_test_3[100279],rm_test_3[100282],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump | Heavy_Ammo | precise_movement | (Grenade + grenade_boost + Dandelion_Bomb) | Ruby_Slippers,
rm_test_3[100279],rm_test_3[100298],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump | damage_boost | (Heavy_Ammo + Energy_Disruptor + precise_movement),
rm_test_3[100279],rm_test_4[100316],,
rm_test_4[100316],rm_test_4[100317],,
rm_test_4[100316],rm_test_4[100318],,
rm_test_4[100316],e_eli_1,,
rm_test_4[100317],rm_test_4[100316],,
rm_test_4[100317],rm_test_4[100318],,
rm_test_4[100317],e_eli_1,,
rm_test_4[100318],rm_test_4[100316],,
rm_test_4[100318],rm_test_4[100317],,
rm_test_4[100318],e_eli_1,,
rm_test_4[100318],rm_test_4_alt[100347],,
rm_test_4_alt[100347],rm_test_4_alt[100351],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump | Heavy_Ammo | precise_movement | Ruby_Slippers | (Grenade + grenade_boost) | damage_boost,
rm_test_4_alt[100347],rm_test_4_alt[100349],,
rm_test_4_alt[100351],rm_test_4_alt[100347],,
rm_test_4_alt[100351],rm_test_4_alt[100349],,
rm_test_4_alt[100349],rm_test_4_alt[100347],,
rm_test_4_alt[100349],rm_test_4_alt[100351],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump | Heavy_Ammo | precise_movement | Ruby_Slippers | (Grenade + grenade_boost) | damage_boost,
rm_test_4_alt[100351],rm_4_hidden[100856],,
rm_4_hidden[100856],rm_4_hidden[100857],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump,
rm_4_hidden[100856],Flatlands MP UP (Top Right),Grappling_Hook | Shotgun | Rocket_Launcher | (Heavy_Ammo + Energy_Disruptor + precise_movement),
rm_4_hidden[100857],rm_4_hidden[100856],,
rm_4_hidden[100857],Flatlands MP UP (Top Right),Grappling_Hook | Shotgun | Rocket_Launcher | (Heavy_Ammo + Energy_Disruptor + precise_movement),
rm_4_hidden[100857],rm_4_hidden_2[102859],,
rm_test_4_alt[100349],rm_test_4_alt_2[100373],,
rm_test_4_alt_2[100373],rm_test_4_alt_2[100383],Grappling_Hook_Upgrade | (Shotgun + (Rocket_Launcher | Sniper)) | (Charge_Jump + (Shotgun | Rocket_Launcher | Sniper | (Heavy_Ammo + Energy_Disruptor))) | (Grappling_Hook + (Shotgun | Rocket_Launcher | Sniper | (precise_grapple + bunny_hopping) | (Grenade + grenade_boost))) | (Rocket_Launcher + Sniper) | (Heavy_Ammo + (Shotgun | (Sniper + Energy_Disruptor)) | (Sniper + Grenade + grenade_boost)),
rm_test_4_alt_2[100373],rm_test_4_alt_2[100374],,
rm_test_4_alt_2[100373],rm_test_4_alt_2[100378],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Grenade + grenade_boost) | damage_boost | Heavy_Ammo | Charge_Jump,
rm_test_4_alt_2[100383],rm_test_4_alt_2[100373],,
rm_test_4_alt_2[100383],rm_test_4_alt_2[100374],,
rm_test_4_alt_2[100383],rm_test_4_alt_2[100378],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Grenade + grenade_boost) | damage_boost | Heavy_Ammo | Charge_Jump,
rm_test_4_alt_2[100374],rm_test_4_alt_2[100373],,
rm_test_4_alt_2[100374],rm_test_4_alt_2[100383],Grappling_Hook_Upgrade | (Shotgun + (Rocket_Launcher | Sniper)) | (Charge_Jump + (Shotgun | Rocket_Launcher | Sniper | (Heavy_Ammo + Energy_Disruptor))) | (Grappling_Hook + (Shotgun | Rocket_Launcher | Sniper | (precise_grapple + bunny_hopping) | (Grenade + grenade_boost))) | (Rocket_Launcher + Sniper) | (Heavy_Ammo + (Shotgun | (Sniper + Energy_Disruptor)) | (Sniper + Grenade + grenade_boost)),
rm_test_4_alt_2[100374],rm_test_4_alt_2[100378],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Grenade + grenade_boost) | damage_boost | Heavy_Ammo | Charge_Jump,
rm_test_4_alt_2[100378],rm_test_4_alt_2[100373],,
rm_test_4_alt_2[100378],rm_test_4_alt_2[100374],,
rm_test_4_alt_2[100378],rm_test_4_alt_2[100383],Grappling_Hook_Upgrade | (Shotgun + (Rocket_Launcher | Sniper)) | (Charge_Jump + (Shotgun | Rocket_Launcher | Sniper | (Heavy_Ammo + Energy_Disruptor))) | (Grappling_Hook + (Shotgun | Rocket_Launcher | Sniper | (precise_grapple + bunny_hopping) | (Grenade + grenade_boost))) | (Rocket_Launcher + Sniper) | (Heavy_Ammo + (Shotgun | (Sniper + Energy_Disruptor)) | (Sniper + Grenade + grenade_boost)),
rm_test_4_alt_2[100378],rm_test_7_alt_2[100917],,
rm_test_4_alt_2[100383],rm_tea_party[109241],,
rm_tea_party[109241],Flatlands Thorny Wings,Grappling_Hook_Upgrade | (Grappling_Hook + (Shotgun | Rocket_Launcher | Sniper | (Heavy_Ammo + Energy_Disruptor) | (Grenade + grenade_boost))) | Charge_Jump | (Heavy_Ammo + (Shotgun | Sniper | (Rocket_Launcher + (Pistol | Energy_Disruptor)))) | (Sniper + (Shotgun | Rocket_Launcher | (Grenade + grenade_boost))) | (Rocket_Launcher + (Shotgun | Grenade + grenade_boost)) | (Shotgun + Grenade + grenade_boost),
rm_tea_party[109241],Flatlands Titania Piece,,
rm_test_hidden_2[100417],rm_test_hidden_2[100418],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump,
rm_test_hidden_2[100417],rm_test_hidden_2[100419],,
rm_test_hidden_2[100417],Flatlands HP Overload,,
rm_test_hidden_2[100418],rm_test_hidden_2[100417],,
rm_test_hidden_2[100418],rm_test_hidden_2[100419],,
rm_test_hidden_2[100418],Flatlands HP Overload,,
rm_test_hidden_2[100419],rm_test_hidden_2[100417],,
rm_test_hidden_2[100419],rm_test_hidden_2[100418],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump,
rm_test_hidden_2[100419],Flatlands HP Overload,,
rm_test_hidden_2[100417],rm_test_2[100259],,
rm_test_hidden_2[100418],rm_test_3_hidden[100702],,
rm_test_3_hidden[100702],rm_test_3_hidden[100703],,
rm_test_3_hidden[100702],Flatlands HP UP (Top Left),Grappling_Hook | Charge_Jump | (Shotgun + (Rocket_Launcher | Sniper | Heavy_Ammo)) | (Rocket_Launcher + (Shotgun | Sniper | Heavy_Ammo | (Grenade + grenade_boost))) | (Sniper + (Shotgun | Rocket_Launcher | Heavy_Ammo | (Grenade + grenade_boost))),
rm_test_3_hidden[100703],rm_test_3_hidden[100702],,
rm_test_3_hidden[100703],Flatlands HP UP (Top Left),Grappling_Hook | Charge_Jump | (Shotgun + (Rocket_Launcher | Sniper | Heavy_Ammo)) | (Rocket_Launcher + (Shotgun | Sniper | Heavy_Ammo | (Grenade + grenade_boost))) | (Sniper + (Shotgun | Rocket_Launcher | Heavy_Ammo | (Grenade + grenade_boost))),
rm_test_3_hidden[100703],rm_test_3_alt[100851],,
rm_test_3_alt[100850],rm_test_3_alt[100851],,
rm_test_3_alt[100851],rm_test_3_alt[100850],,
rm_test_3_alt[100850],rm_test_3[100282],,
rm_test_4[100317],rm_test_6_shortcut[103539],,
rm_test_6_shortcut[103538],rm_test_6_shortcut[103539],e_rm_test_6_shortcut_target,
rm_test_6_shortcut[103538],e_rm_test_6_shortcut_target,,
rm_test_6_shortcut[103539],rm_test_6_shortcut[103538],e_rm_test_6_shortcut_target,
rm_test_6_shortcut[103538],rm_test_6[100363],,
rm_test_6[100361],rm_test_6[100362],,
rm_test_6[100361],rm_test_6[100363],,
rm_test_6[100362],rm_test_6[100361],Grappling_Hook | (Charge_Jump + precise_movement) | Rocket_Launcher | Shotgun | Sniper | Heavy_Ammo | (Ruby_Slippers + precise_movement),
rm_test_6[100362],rm_test_6[100363],Grappling_Hook | (Charge_Jump + precise_movement) | Rocket_Launcher | Shotgun | Sniper | Heavy_Ammo | (Ruby_Slippers + precise_movement),
rm_test_6[100363],rm_test_6[100361],,
rm_test_6[100363],rm_test_6[100362],,
rm_test_5[100332],Flatlands Time Manipulator,Grappling_Hook | Shotgun | Rocket_Launcher | Sniper,
rm_test_5[100332],rm_test_5[100333],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Ruby_Slippers + precise_movement) | (Grenade + grenade_boost + Dandelion_Bomb + (precise_movement | Ruby_Slippers)),
rm_test_5[100333],Flatlands Time Manipulator,Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Heavy_Ammo + Grenade + grenade_boost + Dandelion_Bomb),
rm_test_5[100333],rm_test_5[100332],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Ruby_Slippers | (precise_movement + Grenade + grenade_boost + Dandelion_Bomb) | (Heavy_Ammo + (Pistol | Energy_Disruptor)),
rm_test_6[100361],rm_test_5[100332],,
rm_test_6[100362],rm_test_7[100444],,
rm_test_7[100444],rm_test_7[100445],precise_movement | Grappling_Hook | Rocket_Launcher | Shotgun | Sniper | Ruby_Slippers | Heavy_Ammo,
rm_test_7[100444],rm_test_7[100446],Grappling_Hook | Shotgun | Rocket_Launcher | Charge_Jump | (Grenade + grenade_boost) | Sniper | Heavy_Ammo,
rm_test_7[100446],rm_test_7[100444],,
rm_test_7[100446],rm_test_7[100445],precise_movement | Grappling_Hook | Rocket_Launcher | Shotgun | Sniper | Ruby_Slippers | Heavy_Ammo,
rm_test_7[100445],rm_test_7[100444],precise_movement | Grappling_Hook | Rocket_Launcher | Shotgun | Sniper | Ruby_Slippers | Heavy_Ammo,
rm_test_7[100445],rm_test_7[100446],Grappling_Hook | Shotgun | Rocket_Launcher | Charge_Jump | (Grenade + grenade_boost) | Sniper | Heavy_Ammo,
rm_test_7[100446],rm_test_7_alt[100882],,
rm_test_7[100445],rm_test_8[100456],,
rm_test_8[100456],rm_test_8[100457],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Ruby_Slippers + precise_movement),
rm_test_8[100457],rm_test_8[100456],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Ruby_Slippers + precise_movement),
rm_test_8[100457],rm_test_void_0[102962],,
rm_test_void_0[102962],rm_test_void_0[102971],,
rm_test_void_0[102971],rm_test_void_0[102962],,
rm_test_void_0[102971],rm_test_void_1[102983],,
rm_test_void_1[102983],rm_test_void_1[102984],,
rm_test_void_1[102984],rm_test_void_1[102983],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Grenade + grenade_boost),
rm_test_void_1[102984],rm_test_void_2[103005],,
rm_test_void_2[103005],rm_test_void_2[102995],hard_combat | Cleansing_Charm | Grappling_Hook,
rm_test_void_2[102995],rm_test_void_2[103005],hard_combat | Cleansing_Charm | Grappling_Hook,
rm_test_void_2[102995],rm_test_before_boss[100466],,
rm_test_before_boss[100466],rm_test_before_boss[100469],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump,
rm_test_before_boss[100466],rm_test_before_boss[100467],,
rm_test_before_boss[100469],rm_test_before_boss[100467],,
rm_test_before_boss[100469],rm_test_before_boss[100466],,
rm_test_before_boss[100467],rm_test_before_boss[100466],,
rm_test_before_boss[100467],rm_test_before_boss[100469],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump,
rm_test_before_boss[100467],rm_test_boss[101012],,
rm_test_boss[101012],Flatlands Titania Piece,,
rm_test_boss[101012],rm_test_boss[101013],,
rm_test_boss[101013],Flatlands Titania Piece,,
rm_test_boss[101013],rm_test_boss[101012],,
rm_test_boss[101013],rm_test_tunnel_right[100584],,
rm_test_before_boss[100469],rm_test_before_boss_alt[102849],,
rm_test_before_boss_alt[102849],rm_test_before_boss_alt[102851],Charge_Jump | Rocket_Launcher | (Heavy_Ammo + (Shotgun | Sniper)) | (Shotgun + Sniper),
rm_test_before_boss_alt[102849],Flatlands HP UP (Top Right),,
rm_test_before_boss_alt[102851],rm_test_before_boss_alt[102849],,
rm_test_before_boss_alt[102851],Flatlands HP UP (Top Right),,
rm_test_before_boss_alt[102851],rm_moss_top_5[102736],,
rm_4_hidden_2[102859],rm_4_hidden_2[102860],(Grappling_Hook + (bunny_hopping | Charge_Jump | Rocket_Launcher | Shotgun | Sniper)) | Grappling_Hook_Upgrade | (Charge_Jump + (Sniper | Rocket_Launcher | (Heavy_Ammo + Shotgun))) | (Sniper + Rocket_Launcher + Shotgun) | (Heavy_Ammo + Shotgun + (Rocket_Launcher | Sniper)),
rm_4_hidden_2[102859],rm_4_hidden_2[102861],((Grappling_Hook + (bunny_hopping | Charge_Jump | Rocket_Launcher | Shotgun | Sniper)) | Grappling_Hook_Upgrade | (Charge_Jump + (Sniper | Rocket_Launcher | (Heavy_Ammo + Shotgun))) | (Sniper + Rocket_Launcher + Shotgun) | (Heavy_Ammo + Shotgun + (Rocket_Launcher | Sniper))) + ((Grappling_Hook | (Shotgun + Rocket_Launcher) | (Rocket_Launcher + Sniper) | (Heavy_Ammo + Sniper + Shotgun)) + (Rocket_Launcher | Grenade)),
rm_4_hidden_2[102860],rm_4_hidden_2[102859],,
rm_4_hidden_2[102860],rm_4_hidden_2[102861],(Grappling_Hook | (Shotgun + Rocket_Launcher) | (Rocket_Launcher + Sniper) | (Heavy_Ammo + Sniper + Shotgun)) + (Rocket_Launcher | Grenade),
rm_4_hidden_2[102861],rm_4_hidden_2[102859],Rocket_Launcher | Grenade,
rm_4_hidden_2[102861],rm_4_hidden_2[102860],Rocket_Launcher | Grenade,
rm_4_hidden_2[102860],rm_4_hidden_3[102877],,
rm_4_hidden_2[102861],rm_meadow_to_snow_0[102881],,
rm_test_7_alt[100882],rm_test_7_alt[100883],Grappling_Hook | Rocket_Launcher | Shotgun,
rm_test_7_alt[100883],rm_test_7_alt[100882],,
rm_test_7_alt[100883],rm_test_7_alt_2[100914],,
rm_test_7_alt[100899],rm_test_7_alt[100882],(Grappling_Hook + bunny_hopping) | Shotgun | Rocket_Launcher,
rm_test_7_alt[100899],rm_test_7_alt[100883],(Grappling_Hook + bunny_hopping) | Shotgun | Rocket_Launcher,
rm_test_7_alt_2[100914],rm_test_7_alt_2[100915],Grappling_Hook | Shotgun | Rocket_Launcher,
rm_test_7_alt_2[100915],rm_test_7_alt_2[100914],,
rm_test_7_alt_2[100915],rm_mount_shortcut[101511],,
rm_mount_shortcut[101511],Flatlands Flag,,
rm_mount_shortcut[101511],rm_mount_shortcut[101512],,
rm_mount_shortcut[101512],rm_mount_shortcut[101511],,
rm_mount_shortcut[101512],Flatlands Flag,,
rm_mount_shortcut[101512],rm_mount_3_alt_2[101288],,
rm_test_7_alt[100899],rm_boss_test[101008],,
rm_boss_test[101007],rm_boss_test[101008],,
rm_boss_test[101007],rm_boss_test[101006],,
rm_boss_test[101007],Flatlands Grappling Hook,,
rm_boss_test[101008],rm_boss_test[101006],,
rm_boss_test[101008],rm_boss_test[101007],(Charge_Jump + (Shotgun | Rocket_Launcher | Sniper)) | (Heavy_Ammo + ((Shotgun + Rocket_Launcher) | (Shotgun + Sniper) | (Rocket_Launcher + Sniper))),
rm_boss_test[101008],Flatlands Grappling Hook,,
rm_boss_test[101006],rm_boss_test[101008],,
rm_boss_test[101006],rm_boss_test[101007],(Charge_Jump + (Shotgun | Rocket_Launcher | Sniper)) | (Heavy_Ammo + ((Shotgun + Rocket_Launcher) | (Shotgun + Sniper) | (Rocket_Launcher + Sniper))),
rm_boss_test[101006],Flatlands Grappling Hook,,
rm_boss_test[101007],rm_test_4_alt_2[100374],,
rm_boss_test[101006],rm_test_4_alt_3[100388],,
rm_test_4_alt_3[100388],rm_test_4_alt_3[100386],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo,
rm_test_4_alt_3[100386],rm_test_4_alt_3[100388],(Shotgun + Rocket_Launcher + Sniper) | (Charge_Jump + (Shotgun | Rocket_Launcher | Sniper)) | (Heavy_Ammo + ((Shotgun + Rocket_Launcher) | (Shotgun + Sniper) | (Rocket_Launcher + Sniper))),
rm_test_4_alt_3[100386],rm_hook_tutorial_0[103231],,
rm_hook_tutorial_0[103231],rm_hook_tutorial_0[103232],(Grappling_Hook | Rocket_Launcher | (Shotgun + (Charge_Jump | Sniper)) | (Heavy_Ammo + (Shotgun | Sniper))) + (Grappling_Hook | (Shotgun + Rocket_Launcher)),
rm_hook_tutorial_0[103232],rm_hook_tutorial_0[103231],Grappling_Hook | (Rocket_Launcher + Shotgun),
rm_hook_tutorial_0[103232],rm_hook_tutorial_1[103275],,
rm_hook_tutorial_1[103275],rm_hook_tutorial_1[103274],Grappling_Hook,
rm_hook_tutorial_1[103274],rm_hook_tutorial_1[103275],(Grappling_Hook + (Charge_Jump | Shotgun | Rocket_Launcher | Sniper)) | Grappling_Hook_Upgrade,
rm_hook_tutorial_1[103274],rm_hook_tutorial_2[103335],,
rm_hook_tutorial_2[103335],rm_hook_tutorial_2[103334],Grappling_Hook,
rm_hook_tutorial_2[103334],rm_hook_tutorial_2[103335],Grappling_Hook,
rm_hook_tutorial_2[103334],rm_hook_tutorial_3[103372],,
rm_hook_tutorial_3[103372],rm_hook_tutorial_3[103373],Grappling_Hook | Rocket_Launcher | Shotgun | Sniper,
rm_hook_tutorial_3[103373],rm_hook_tutorial_3[103372],,
rm_hook_tutorial_3[103373],rm_hook_tutorial_4[104178],,
rm_hook_tutorial_4[104178],rm_hook_tutorial_4[104180],e_rm_hook_tutorial_4_target + Grappling_Hook,
rm_hook_tutorial_4[104178],e_rm_hook_tutorial_4_target,,
rm_hook_tutorial_4[104180],rm_hook_tutorial_4[104178],e_rm_hook_tutorial_4_target + (Grappling_Hook + ((Grenade + grenade_boost) | Sniper | Shotgun | Rocket_Launcher)),
rm_hook_tutorial_4[104180],rm_hook_tutorial_5[103451],,
rm_hook_tutorial_5[103451],rm_hook_tutorial_5[103452],e_rm_hook_tutorial_5_target + (Grappling_Hook | Shotgun | Rocket_Launcher | Sniper),
rm_hook_tutorial_5[103451],e_rm_hook_tutorial_5_target,Grappling_Hook | Shotgun | Rocket_Launcher | Sniper,
rm_hook_tutorial_5[103452],rm_hook_tutorial_5[103451],e_rm_hook_tutorial_5_target,
rm_hook_tutorial_5[103452],rm_test_5[100333],,
rm_test_tunnel_right[100584],rm_test_tunnel_right[100590],,
rm_test_tunnel_right[100584],rm_test_tunnel_right[100588],,
rm_test_tunnel_right[100590],rm_test_tunnel_right[100584],,
rm_test_tunnel_right[100590],rm_test_tunnel_right[100588],,
rm_test_tunnel_right[100588],rm_test_tunnel_right[100584],,
rm_test_tunnel_right[100588],rm_test_tunnel_right[100590],,
rm_test_tunnel_right[100590],rm_forest_to_rain[103704],,
rm_test_tunnel_right[100588],rm_test[100004],,
rm_test[100004],rm_test[100005],,
rm_test[100004],rm_test[100006],,
rm_test[100004],Factory Roof Giant Chambers,,
rm_test[100004],Factory Roof Magnet,,
rm_test[100004],Factory Roof Spiced Gunpowder,,
rm_test[100005],rm_test[100004],,
rm_test[100005],rm_test[100006],,
rm_test[100005],Factory Roof Giant Chambers,,
rm_test[100005],Factory Roof Magnet,,
rm_test[100005],Factory Roof Spiced Gunpowder,,
rm_test[100006],rm_test[100004],,
rm_test[100006],rm_test[100005],,
rm_test[100006],Factory Roof Giant Chambers,,
rm_test[100006],Factory Roof Magnet,,
rm_test[100006],Factory Roof Spiced Gunpowder,,
rm_test[100006],rm_moss_top_0[100623],,
rm_test[100005],rm_moss_chain_intro[100934],,
rm_moss_chain_intro[100934],rm_moss_chain_intro[100949],Grappling_Hook | (Rocket_Launcher + (Shotgun | precise_movement)),
rm_moss_chain_intro[100949],rm_moss_chain_intro[100934],Grappling_Hook | (Rocket_Launcher + Shotgun),
rm_moss_chain_intro[100949],rm_moss_0[100025],,
rm_moss_0[100025],rm_moss_0[100026],,
rm_moss_0[100026],rm_moss_0[100025],,
rm_moss_0[100026],rm_moss_1[100066],,
rm_moss_1[100066],rm_moss_1[100052],Grappling_Hook | (Shotgun + (Rocket_Launcher | Sniper)) | (Rocket_Launcher + Sniper),
rm_moss_1[100052],rm_moss_1[100066],,
rm_moss_1[100052],rm_moss_2[100107],,
rm_moss_2[100107],rm_moss_2[100118],,
rm_moss_2[100107],rm_moss_2[100108],,
rm_moss_2[100118],rm_moss_2[100107],,
rm_moss_2[100118],rm_moss_2[100108],,
rm_moss_2[100108],rm_moss_2[100107],,
rm_moss_2[100108],rm_moss_2[100118],,
rm_moss_2[100108],rm_moss_3[100125],,
rm_moss_2[100118],rm_moss_top_2[100593],,
rm_moss_top_0[100623],rm_moss_top_0[100625],,
rm_moss_top_0[100623],rm_moss_top_0[100624],,
rm_moss_top_0[100623],rm_moss_top_0[100626],Grappling_Hook | Shotgun | Rocket_Launcher | Charge_Jump | (Sniper + Heavy_Ammo),
rm_moss_top_0[100625],rm_moss_top_0[100623],,
rm_moss_top_0[100625],rm_moss_top_0[100624],,
rm_moss_top_0[100625],rm_moss_top_0[100626],Grappling_Hook | Shotgun | Rocket_Launcher | Charge_Jump | (Sniper + Heavy_Ammo),
rm_moss_top_0[100626],rm_moss_top_0[100623],,
rm_moss_top_0[100626],rm_moss_top_0[100625],,
rm_moss_top_0[100626],rm_moss_top_0[100624],,
rm_moss_top_0[100624],rm_moss_top_0[100623],,
rm_moss_top_0[100624],rm_moss_top_0[100625],,
rm_moss_top_0[100624],rm_moss_top_0[100626],Grappling_Hook | Shotgun | Rocket_Launcher | Charge_Jump | (Sniper + Heavy_Ammo),
rm_moss_top_0[100625],rm_moss_top_cave[100639],,
rm_moss_top_0[100626],rm_moss_top_cave[100640],,
rm_moss_top_0[100624],rm_moss_top_1[100632],,
rm_moss_top_cave[100639],Factory Roof Pistol,,
rm_moss_top_cave[100640],Factory Roof TP UP (Bottom Left),,
rm_moss_top_1[100632],rm_moss_top_1[100633],Grappling_Hook | Shotgun | Rocket_Launcher | Sniper | Charge_Jump,
rm_moss_top_1[100633],rm_moss_top_1[100632],,
rm_moss_top_1[100633],rm_moss_top_2[100591],,
rm_moss_top_2[100591],rm_moss_top_2[100592],,
rm_moss_top_2[100591],rm_moss_top_2[100593],e_rm_moss_top_2_target + (Grappling_Hook | Shotgun | Charge_Jump | Rocket_Launcher | Sniper),
