from,to,requires,notes
rm_test_void_2[103005],rm_test_void_2[102995],hard_combat | Cleansing_Charm | Jump{1},
rm_test_void_2[102995],rm_test_void_2[103005],hard_combat | Cleansing_Charm | Jump{1},
rm_test_void_2[102995],rm_test_before_boss[100466],,100466:BL  100469:T  100467:BR
rm_test_before_boss[100466],rm_test_before_boss[100469],Jump{1} | Heavy_Ammo | Charge_Jump,BL>T
rm_test_before_boss[100466],rm_test_before_boss[100467],,
rm_test_before_boss[100469],rm_test_before_boss[100467],,
rm_test_before_boss[100469],rm_test_before_boss[100466],,
rm_test_before_boss[100467],rm_test_before_boss[100466],,
rm_test_before_boss[100467],rm_test_before_boss[100469],Jump{1} | Heavy_Ammo | Charge_Jump,BR>T
rm_test_before_boss[100467],rm_test_boss[101012],,
rm_test_boss[101012],Flatlands Titania Piece,,
rm_test_boss[101012],rm_test_boss[101013],,
rm_test_boss[101013],Flatlands Titania Piece,,
rm_test_boss[101013],rm_test_boss[101012],,
rm_test_boss[101013],rm_test_tunnel_right[100584],,
rm_test_before_boss[100469],rm_test_before_boss_alt[102849],,
rm_test_before_boss_alt[102849],rm_test_before_boss_alt[102851],Charge_Jump | Jump{1},
rm_test_before_boss_alt[102849],Flatlands HP UP (Top Right),,
rm_test_before_boss_alt[102851],rm_test_before_boss_alt[102849],,
rm_test_before_boss_alt[102851],Flatlands HP UP (Top Right),,
rm_test_before_boss_alt[102851],rm_moss_top_5[102736],,102859:B  102860:R  102861:T
rm_4_hidden_2[102859],rm_4_hidden_2[102860],((Charge_Jump | Heavy_Ammo) + Jump{2}) | (Charge_Jump + Jump{1} + Heavy_Ammo) | Jump{3},
rm_4_hidden_2[102859],rm_4_hidden_2[102861],(((Charge_Jump | Heavy_Ammo) + Jump{2}) | (Charge_Jump + Jump{1} + Heavy_Ammo) | Jump{3}) + Grenade,
rm_4_hidden_2[102860],rm_4_hidden_2[102859],,
rm_4_hidden_2[102860],rm_4_hidden_2[102861],Jump{1} + Grenade,
rm_4_hidden_2[102861],rm_4_hidden_2[102859],Grenade,
rm_4_hidden_2[102861],rm_4_hidden_2[102860],Grenade,
rm_4_hidden_2[102860],rm_4_hidden_3[102877],,
rm_4_hidden_2[102861],rm_meadow_to_snow_0[102881],,100882:B  100883:T  100899:L
rm_test_7_alt[100882],rm_test_7_alt[100883],Jump{1},B>T
rm_test_7_alt[100883],rm_test_7_alt[100882],,
rm_test_7_alt[100883],rm_test_7_alt_2[100914],,
rm_test_7_alt[100899],rm_test_7_alt[100882],Jump{1} | Flying,L>B
rm_test_7_alt[100899],rm_test_7_alt[100883],Jump{1},L>T
rm_test_7_alt_2[100914],rm_test_7_alt_2[100915],Jump{1},
rm_test_7_alt_2[100915],rm_test_7_alt_2[100914],,
rm_test_7_alt_2[100915],rm_mount_shortcut[101511],,
rm_mount_shortcut[101511],Flatlands Flag,,
rm_mount_shortcut[101511],rm_mount_shortcut[101512],,
rm_mount_shortcut[101512],rm_mount_shortcut[101511],,
rm_mount_shortcut[101512],Flatlands Flag,,
rm_mount_shortcut[101512],rm_mount_3_alt_2[101288],,
rm_test_7_alt[100899],rm_boss_test[101008],,101007:T  101008:R  101006:L
rm_boss_test[101007],rm_boss_test[101008],e_boss_bonnie,
rm_boss_test[101007],rm_boss_test[101006],e_boss_bonnie,
rm_boss_test[101007],Flatlands Grappling Hook,e_boss_bonnie,
rm_boss_test[101007],e_boss_bonnie,,
rm_boss_test[101008],rm_boss_test[101006],e_boss_bonnie,
rm_boss_test[101008],rm_boss_test[101007],e_boss_bonnie + ((Charge_Jump + Jump{1}) | (Charge_Jump + Heavy_Ammo) | Jump{2} | (Jump{1} + Heavy_Ammo)),>T
rm_boss_test[101008],Flatlands Grappling Hook,e_boss_bonnie,
rm_boss_test[101008],e_boss_bonnie,,
rm_boss_test[101006],rm_boss_test[101008],e_boss_bonnie,
rm_boss_test[101006],rm_boss_test[101007],e_boss_bonnie + ((Charge_Jump + Jump{1}) | (Charge_Jump + Heavy_Ammo) | Jump{2} | (Jump{1} + Heavy_Ammo)),>T
rm_boss_test[101006],Flatlands Grappling Hook,e_boss_bonnie,
rm_boss_test[101006],e_boss_bonnie,,
rm_boss_test[101007],rm_test_4_alt_2[100374],,
rm_boss_test[101006],rm_test_4_alt_3[100388],,100388:R  100386:L
rm_test_4_alt_3[100388],rm_test_4_alt_3[100386],Jump{1} | (Grenade + grenade_boost) | Charge_Jump | Heavy_Ammo,
rm_test_4_alt_3[100386],rm_test_4_alt_3[100388],Jump{2} | (Jump{1} + Heavy_Ammo) | (Heavy_Ammo + Charge_Jump) | (Charge_Jump + Jump{1}),
rm_test_4_alt_3[100386],rm_hook_tutorial_0[103231],,103231:T  103232:L
rm_hook_tutorial_0[103231],rm_hook_tutorial_0[103232],Jump{2} | ((Heavy_Ammo | Ruby_Slippers) + Jump{1}),
rm_hook_tutorial_0[103232],rm_hook_tutorial_0[103231],Jump{2} | (Jump{1} + Heavy_Ammo) | (Heavy_Ammo + Charge_Jump) | (Charge_Jump + Jump{1}),
rm_hook_tutorial_0[103232],rm_hook_tutorial_1[103275],,
rm_hook_tutorial_1[103275],rm_hook_tutorial_1[103274],Jump{2},T>L
rm_hook_tutorial_1[103274],rm_hook_tutorial_1[103275],Jump{2} | (Charge_Jump + Jump{1}),L>T
rm_hook_tutorial_1[103274],rm_hook_tutorial_2[103335],,103335:R  103334>B
rm_hook_tutorial_2[103335],rm_hook_tutorial_2[103334],Jump{2} | (Jump{1} + Heavy_Ammo),
rm_hook_tutorial_2[103334],rm_hook_tutorial_2[103335],Jump{2} | (Jump{1} + Heavy_Ammo),
rm_hook_tutorial_2[103334],rm_hook_tutorial_3[103372],,
rm_hook_tutorial_3[103372],rm_hook_tutorial_3[103373],Jump{1} | Heavy_Ammo,
rm_hook_tutorial_3[103373],rm_hook_tutorial_3[103372],,
rm_hook_tutorial_3[103373],rm_hook_tutorial_4[104178],,104178:L  104180:R
rm_hook_tutorial_4[104178],rm_hook_tutorial_4[104180],e_rm_hook_tutorial_4_target + (Jump{2} | (Flying + Jump{1})),L>R
rm_hook_tutorial_4[104178],e_rm_hook_tutorial_4_target,,
rm_hook_tutorial_4[104180],rm_hook_tutorial_4[104178],e_rm_hook_tutorial_4_target + (Jump{2} | (Flying + Jump{1})),R>L
rm_hook_tutorial_4[104180],rm_hook_tutorial_5[103451],,
rm_hook_tutorial_5[103451],rm_hook_tutorial_5[103452],e_rm_hook_tutorial_5_target + (Jump{1} | Heavy_Ammo | Charge_Jump),
rm_hook_tutorial_5[103451],e_rm_hook_tutorial_5_target,,hitting the targets is free with bolt dispenser
rm_hook_tutorial_5[103452],rm_hook_tutorial_5[103451],e_rm_hook_tutorial_5_target,
rm_hook_tutorial_5[103452],rm_test_5[100333],,
rm_test_tunnel_right[100584],rm_test_tunnel_right[100590],,
rm_test_tunnel_right[100584],rm_test_tunnel_right[100588],,
rm_test_tunnel_right[100590],rm_test_tunnel_right[100584],,
rm_test_tunnel_right[100590],rm_test_tunnel_right[100588],,
rm_test_tunnel_right[100588],rm_test_tunnel_right[100584],,
rm_test_tunnel_right[100588],rm_test_tunnel_right[100590],,
rm_test_tunnel_right[100590],rm_forest_to_rain[103704],,
rm_test_tunnel_right[100588],rm_test[100004],,
rm_test[100004],rm_test[100005],,
rm_test[100004],rm_test[100006],,
rm_test[100004],Factory Roof Giant Chambers,,
rm_test[100004],Factory Roof Magnet,,
rm_test[100004],Factory Roof Spiced Gunpowder,,
rm_test[100005],rm_test[100004],,
rm_test[100005],rm_test[100006],,
rm_test[100005],Factory Roof Giant Chambers,,
rm_test[100005],Factory Roof Magnet,,
rm_test[100005],Factory Roof Spiced Gunpowder,,
rm_test[100006],rm_test[100004],,
rm_test[100006],rm_test[100005],,
rm_test[100006],Factory Roof Giant Chambers,,
rm_test[100006],Factory Roof Magnet,,
rm_test[100006],Factory Roof Spiced Gunpowder,,
rm_test[100006],rm_moss_top_0[100623],,
rm_test[100005],rm_moss_chain_intro[100934],,100934:L  100949:R
rm_moss_chain_intro[100934],rm_moss_chain_intro[100949],Jump{2} | (Jump{1} + Heavy_Ammo),L>R
rm_moss_chain_intro[100949],rm_moss_chain_intro[100934],Jump{2} | (Jump{1} + Heavy_Ammo),R>L
rm_moss_chain_intro[100949],rm_moss_0[100025],,
rm_moss_0[100025],rm_moss_0[100026],,
rm_moss_0[100026],rm_moss_0[100025],,
rm_moss_0[100026],rm_moss_1[100066],,
rm_moss_1[100066],rm_moss_1[100052],Jump{2} | (Jump{1} + Heavy_Ammo),
rm_moss_1[100052],rm_moss_1[100066],,
rm_moss_1[100052],rm_moss_2[100107],,
rm_moss_2[100107],rm_moss_2[100118],,
rm_moss_2[100107],rm_moss_2[100108],,
rm_moss_2[100118],rm_moss_2[100107],,
rm_moss_2[100118],rm_moss_2[100108],,
rm_moss_2[100108],rm_moss_2[100107],,
rm_moss_2[100108],rm_moss_2[100118],,
rm_moss_2[100108],rm_moss_3[100125],,
rm_moss_2[100118],rm_moss_top_2[100593],,
rm_moss_top_0[100623],rm_moss_top_0[100625],,
rm_moss_top_0[100623],rm_moss_top_0[100624],,
rm_moss_top_0[100623],rm_moss_top_0[100626],Jump{1} | Charge_Jump,?>TL
rm_moss_top_0[100625],rm_moss_top_0[100623],,
rm_moss_top_0[100625],rm_moss_top_0[100624],,
rm_moss_top_0[100625],rm_moss_top_0[100626],Jump{1} | Charge_Jump,?>TL
rm_moss_top_0[100626],rm_moss_top_0[100623],,
rm_moss_top_0[100626],rm_moss_top_0[100625],,
rm_moss_top_0[100626],rm_moss_top_0[100624],,
rm_moss_top_0[100624],rm_moss_top_0[100623],,
rm_moss_top_0[100624],rm_moss_top_0[100625],,
rm_moss_top_0[100624],rm_moss_top_0[100626],Jump{1} | Charge_Jump,?>TL
rm_moss_top_0[100625],rm_moss_top_cave[100639],,
rm_moss_top_0[100626],rm_moss_top_cave[100640],,
rm_moss_top_0[100624],rm_moss_top_1[100632],,
rm_moss_top_cave[100639],Factory Roof Pistol,,
rm_moss_top_cave[100640],Factory Roof TP UP (Bottom Left),,
rm_moss_top_1[100632],rm_moss_top_1[100633],Jump{1} | Charge_Jump | Heavy_Ammo,
rm_moss_top_1[100633],rm_moss_top_1[100632],,
rm_moss_top_1[100633],rm_moss_top_2[100591],,
rm_moss_top_2[100591],rm_moss_top_2[100592],,100596:TL  100591:B  100592:BL  100593:R  100594:T
rm_moss_top_2[100591],rm_moss_top_2[100593],e_rm_moss_top_2_target + (Jump{1} | Heavy_Ammo | Charge_Jump),B>R
rm_moss_top_2[100591],rm_moss_top_2[100596],e_rm_moss_top_2_target + (Jump{1} | Heavy_Ammo | Charge_Jump),B>TL
rm_moss_top_2[100591],rm_moss_top_2[100594],e_rm_moss_top_2_target + (Jump{1} | Heavy_Ammo | Charge_Jump) + (Charge_Jump | Jump{1}),B>T
rm_moss_top_2[100592],rm_moss_top_2[100591],,
rm_moss_top_2[100592],rm_moss_top_2[100593],e_rm_moss_top_2_target + (Jump{1} | Heavy_Ammo | Charge_Jump),BL>R
rm_moss_top_2[100592],rm_moss_top_2[100596],e_rm_moss_top_2_target + (Jump{1} | Heavy_Ammo | Charge_Jump),BL>TL
rm_moss_top_2[100592],rm_moss_top_2[100594],e_rm_moss_top_2_target + (Jump{1} | Heavy_Ammo | Charge_Jump) + (Charge_Jump | Jump{1}),BL>T
rm_moss_top_2[100593],e_rm_moss_top_2_target,,
rm_moss_top_2[100593],rm_moss_top_2[100596],,
rm_moss_top_2[100593],rm_moss_top_2[100592],e_rm_moss_top_2_target,
rm_moss_top_2[100593],rm_moss_top_2[100591],e_rm_moss_top_2_target,
rm_moss_top_2[100593],rm_moss_top_2[100594],Charge_Jump | Jump{1},R>T
rm_moss_top_2[100594],e_rm_moss_top_2_target,,
rm_moss_top_2[100594],rm_moss_top_2[100592],e_rm_moss_top_2_target,
rm_moss_top_2[100594],rm_moss_top_2[100591],e_rm_moss_top_2_target,
rm_moss_top_2[100594],rm_moss_top_2[100593],,
rm_moss_top_2[100594],rm_moss_top_2[100596],,
rm_moss_top_2[100596],e_rm_moss_top_2_target,,
rm_moss_top_2[100596],rm_moss_top_2[100593],,
rm_moss_top_2[100596],rm_moss_top_2[100592],e_rm_moss_top_2_target,
rm_moss_top_2[100596],rm_moss_top_2[100591],e_rm_moss_top_2_target,
rm_moss_top_2[100596],rm_moss_top_2[100594],Charge_Jump | Jump{1},TL>T
rm_moss_top_2[100592],rm_moss_top_cave_2[100694],,
rm_moss_top_cave_2[100694],rm_moss_top_cave_2[100695],Jump{1} | Heavy_Ammo | Charge_Jump | (Grenade + grenade_boost) | Heavy_Ammo,
rm_moss_top_cave_2[100695],rm_moss_top_cave_2[100694],,
rm_moss_top_cave_2[100695],rm_moss_top_cave_2_alt[103220],,
rm_moss_top_2[100594],rm_moss_top_hidden_4[103062],,
rm_moss_top_2[100596],rm_moss_top_3[102714],,102714:R  102672:L
rm_moss_top_3[102714],rm_moss_top_3[102672],Jump{1},R>L
rm_moss_top_3[102672],rm_moss_top_3[102714],Jump{1},L>R
rm_moss_top_3[102672],rm_moss_top_7[102829],,
rm_moss_top_7[102829],rm_moss_top_7[102828],,
rm_moss_top_7[102828],rm_moss_top_7[102829],,
rm_moss_top_7[102828],rm_moss_top_6[102816],,102816:R  102815:B
rm_moss_top_6[102816],rm_moss_top_6[102815],Jump{2} | (Jump{1} + (Ruby_Slippers | Heavy_Ammo)),R>B
rm_moss_top_6[102815],rm_moss_top_6[102816],Jump{3} | (Jump{1} + Heavy_Ammo),B>R
rm_moss_top_6[102815],rm_moss_top_4[102722],,
rm_moss_top_4[102722],rm_moss_top_4[102721],,
rm_moss_top_4[102721],rm_moss_top_4[102722],Jump{1},
rm_moss_top_4[102721],rm_moss_top_5[102734],,
rm_moss_top_5[102734],rm_moss_top_5[102736],,
rm_moss_top_5[102734],rm_moss_top_5[102733],Jump{3} + Heavy_Ammo,
rm_moss_top_5[102736],rm_moss_top_5[102734],,
rm_moss_top_5[102736],rm_moss_top_5[102733],Jump{3} + Heavy_Ammo,
rm_moss_top_5[102733],rm_moss_top_5[102736],,
rm_moss_top_5[102733],rm_moss_top_5[102734],,
rm_moss_top_5[102733],rm_moss_top_save[102772],,
rm_moss_top_save[102772],rm_moss_top_save[102773],,
rm_moss_top_save[102773],rm_moss_top_save[102772],,
rm_moss_top_save[102773],rm_moss_top_boss[102789],,
rm_moss_top_boss[102789],rm_moss_top_boss[102795],,
rm_moss_top_boss[102789],e_boss_maya_1,Jump{1},
rm_moss_top_boss[102789],rm_moss_top_boss[boss_killed],e_boss_maya_1,
rm_moss_top_boss[102795],rm_moss_top_boss[102789],,
rm_moss_top_boss[102795],rm_moss_top_boss[boss_killed],e_boss_maya_1,
rm_moss_top_boss[boss_killed],rm_snow_intro_0[teleport],,
rm_moss_top_boss[102795],rm_moss_top_hidden_1[103019],,103019:L  103020:R
rm_moss_top_hidden_1[103019],rm_moss_top_hidden_1[103020],Jump{2} | (Jump{1} + Heavy_Ammo),L>R
rm_moss_top_hidden_1[103020],rm_moss_top_hidden_1[103019],Jump{2} | (Jump{1} + Heavy_Ammo),R>L
